Symbol,Security,GICS Sector,GICS Sub-Industry,Date Added,Date Removed
XRAY,Dentsply Sirona,Health Care,Health Care Supplies,2008-11-14,
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,2000-08-30,
DXCM,Dexcom,Health Care,Health Care Equipment,2020-05-12,
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,2018-12-03,
DLR,Digital Realty,Real Estate,Data Center REITs,2016-05-18,
DFS,Discover Financial,Financials,Consumer Finance,2007-07-02,
DISH,Dish Network,Communication Services,Cable & Satellite,2017-03-13,
DIS,Disney,Communication Services,Movies & Entertainment,1976-06-30,
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,2012-12-03,
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,2011-12-19,
D,Dominion Energy,Utilities,Electric Utilities,,
DPZ,Domino's,Consumer Discretionary,Restaurants,2020-05-12,
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,1985-10-31,
DOW,Dow Inc.,Materials,Commodity Chemicals,2019-04-01,
DTE,DTE Energy,Utilities,Multi-Utilities,1957-03-04,
DUK,Duke Energy,Utilities,Electric Utilities,1976-06-30,
DD,DuPont,Materials,Specialty Chemicals,2019-04-02,
DXC,DXC Technology,Information Technology,IT Consulting & Other Services,2017-04-04,
EMN,Eastman Chemical Company,Materials,Diversified Chemicals,1994-01-01,
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,1957-03-04,
EBAY,eBay,Consumer Discretionary,Internet & Direct Marketing Retail,2002-07-22,
ECL,Ecolab,Materials,Specialty Chemicals,1989-01-31,
EIX,Edison International,Utilities,Electric Utilities,1957-03-04,
EW,Edwards Lifesciences,Health Care,Health Care Equipment,2011-04-01,
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,2002-07-22,
ELV,Elevance Health,Health Care,Managed Health Care,2002-07-25,
LLY,Eli Lilly and Company,Health Care,Pharmaceuticals,1970-12-31,
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,1965-03-31,
ENPH,Enphase,Information Technology,Electronic Components,2021-01-07,
ETR,Entergy,Utilities,Electric Utilities,1957-03-04,
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,2000-11-02,
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,2021-12-14,
EQT,EQT,Energy,Oil & Gas Exploration & Production,2022-10-03,
EFX,Equifax,Industrials,Research & Consulting Services,1997-06-19,
EQIX,Equinix,Real Estate,Data Center REITs,2015-03-20,
EQR,Equity Residential,Real Estate,Residential REITs,2001-12-03,
ESS,Essex Property Trust,Real Estate,Residential REITs,2014-04-02,
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,2006-01-05,
ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,2020-09-21,
RE,Everest Re,Financials,Reinsurance,2017-06-19,
